Title,Display Title,File Name,Description,Modified On,Copyright Notes,Additional Notes,Year Published,Reviewed On,Active,Duplicatable,Filesize,Collection Type,Author,Rights Holder,Rights Statement,Library User,Education Level,Subject,Subcategory,Keywords,Resource Type,Format,Language
Breast Cancer - Metastatic Breast Cancer,Breast Cancer - Metastatic Breast Cancer,Breast Cancer - Metastatic Breast Cancer 2026.pdf,"This patient guideline offers in-depth information for patients diagnosed with metastatic (Stage IV) breast cancer, covering diagnosis, testing, treatment options, side effects, and long-term care. It explains HER2, hormone receptor status, and personalized therapies to help patients make informed decisions with their care team. ",,,,2026,,True,False,2401254,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Health Professional | Community Health Educator,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training  | A1,General Medicine,Noncommunicable Diseases | Oncology,Breast Cancer | Breast | HER2 | Metastatic | Cancer  | cancer screening | Oncology | Guidelines | Clinical Guidelines | Education | Healthcare | Patient Education | Treatment | management,Educational Fact Sheet,PDF,English
Acute Lymphoblastic Leukemia 2026,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia 2026.pdf,"This comprehensive patient guideline from the National Comprehensive Cancer Network (NCCN) explains diagnosis, treatment options, and supportive care for adults with acute lymphoblastic leukemia (ALL). It includes patient-friendly descriptions of complex medical procedures, treatment phases, genetic testing, and strategies for managing symptoms and side effects. ",,,,2026,,True,False,3051074,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Health Professional,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Health | Blood Cancer  | Leukemia  | Acute Lymphoblastic Leukemia | Oncology | Treatment | management | Clinical guideline | Clinical education | Education | Patient Education | Patient Care,Educational Fact Sheet,PDF,English
Cervical Cancer 2026,Cervical Cancer,Cervical Cancer 2026.pdf,"This detailed patient guideline helps patients understand cervical cancer, from how it starts to testing, staging, treatment, and survivorship care. It covers both common types, such as squamous cell carcinoma, and rarer types, such as neuroendocrine carcinoma, with accessible explanations and support resources for patients and caregivers. ",,,,2026,,True,False,4246835,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Health Professional,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Cervical Cancer | Cervical | HPV | Oncology | Patient Education | Clinical guideline | Clinical education | Education | Healthcare | Guidelines | Treatment | management,Educational Fact Sheet,PDF,English
Chronic Lymphocytic Leukemia 2026,Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia 2026.pdf,"This patient guideline explains chronic lymphocytic leukemia (CLL), including symptoms, diagnosis, biomarker testing, treatment options, and follow-up care. It also covers supportive care, Richter transformation, and decision-making guidance, empowering patients to participate in their cancer journey.",,,,2026,,True,False,2142299,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Students | Patient  | Community Health Educator | Health Educators | Health Professional | Community Member,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Blood Cancer  | Leukemia  | CLL | cancer diagnosis  | management | Treatment | Patient Education | Clinical Guidelines | Guidelines | Health | Healthcare | Patient Care | cancer screening | Oncology,Educational Fact Sheet,PDF,English
Chronic Myeloid Leukemia 2026,Chronic Myeloid Leukemia,Chronic Myeloid Leukemia 2026.pdf,"This patient guideline explains chronic myeloid leukemia (CML), its causes, diagnostic testing, phases of progression, and available treatment, including tyrosine kinase inhibitors (TKIs), stem cell transplant, and clinical trials. It provides clear explanations of biomarkers, response milestones, supportive care, and treatment-free remission options to help patients actively participate in their care. ",,,,2026,,True,False,3554268,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Health Professional,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,GI cancer | Leukemia  | CML | Tyrosine Kinase Inhibitors | TKI | Stem Cell | Oncology | Patient Care | Patient Education | management | Treatment | Cancer Treatment | Guidelines | Clinical guideline,Educational Fact Sheet,PDF,English
Colon Cancer 2026,Colon Cancer,Colon Cancer 2026.pdf,"This patient guideline offers detailed information on colon cancer, from ealry detection and biomarker testing to treatment options and survivorship planning. It explains surgery, chemotherapy, targeted therapies, and support for side effects, using easy-to-understand language and visuals to help patients make informed decisions. ",,,,2026,,True,False,1453179,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Student | Adults | Patient  | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Colon | Colon Cancer | Oncology | cancer screening | Education | Guidelines | Clinical Guidelines | Patient Care | Patient Education | management | Treatment | cancer diagnosis ,Educational Fact Sheet,PDF,English
Diffuse Large B-Cell Lymphoma 2026,Diffuse Large B-Cell Lymphoma,Diffuse Large B-Cell Lymphoma 2026.pdf,"This patient guideline provides patient-friendly information on Diffuse Large B-Cell Lymphoma, including diagnosis, treatment options, types, stages, and supportive care. ",,,,2026,,True,False,3620167,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Patient  | Adults | Student | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Lymphoma | B-Cell | Oncology | Healthcare | cancer screening | cancer diagnosis  | Cancer Testing | Patient Education | Treatment | management | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Esophageal Cancer 2026,Esophageal Cancer ,Esophageal Cancer 2026.pdf,"A National Comprehensive Care Network (NCCN) patient guideline on esophageal cancer. This guide highlights cancer physiology, prevention, diagnosis, and treatment options. ",,,,2026,,True,False,5425278,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Graduate/Professional | Undergraduate | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | Esophageal | Esophageal Cancer  | Patient Care | Patient Education | Guidelines | Clinical Guidelines | Treatment | management | cancer diagnosis  | Cancer Treatment | Cancer Testing,Educational Fact Sheet,PDF,English
Follicular Lymphoma 2026,Follicular Lymphoma 2026,Follicular Lymphoma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on follicular lymphoma. This guideline covers cancer physiology, prevention, diagnosis, and treatment. ",,,,2026,,True,False,3122147,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Patient  | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | cancer diagnosis  | Cancer Treatment | Cancer Testing | Lymphoma | Follicular Lymphoma | Testing | management | Treatment | Oncology | Guidelines | Clinical guideline | Clinical education | Patient Education | Patient Care,Educational Fact Sheet,PDF,English
Gallbladder and Bile Duct Cancers 2026,Gallbladder and Bile Duct Cancers,Gallbladder and Bile Duct Cancers 2026.pdf,"National Comprehensive Care Network (NCCN) patient guideline that covers gallbladder and bile duct cancers. This guide reviews cancer physiology, prevention, diagnosis, and treatment. ",,,,2026,,True,False,2323059,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Health Educators | Healthcare Professional | Community Health Educator | Community Member,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Gallbladder | Gallbladder Cancer | Bile Duct | Bile Duct Cancer | Treatment | Patient Education | Guidelines | Clinical guideline | Clinical education | Patient Care | cancer screening | Cancer Treatment | Cancer Testing,Educational Fact Sheet,PDF,English
Hodgkin Lymphoma in Children 2026,Hodgkin Lymphoma in Children,Hodgkin Lymphoma in Children 2026.pdf,"This patient guide provides clear, accessible information on children, adolescents, and young adults diagnosed with Hodgkin Lymphoma. It explains symptoms, staging, types, testing, treatment, relapse care, and long-term follow-up in language designed to support patient and caregiver decision-making. ",,,,2026,,True,False,1266022,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Hodgkin Lymphoma | Lymphoma | cancer screening | Cancer Testing | Cancer Treatment | Children | Guidelines | Clinical Guidelines | Patient Care | Patient Education | Education | management | Treatment,Educational Fact Sheet,PDF,English
Kidney Cancer 2026,Kidney Cancer,Kidney Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Kidney Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3142062,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Student | Patient  | Adults | Community | Community Health Educator | Community Member | Health Educators | Healthcare Professional,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Kidney Cancer | Kidney | Oncology | Cancer Testing | Cancer Treatment | Treatment | management | Education | Patient Education | Guidelines | Clinical Guidelines | Healthcare | Patient Care,Educational Fact Sheet,PDF,English
Liver Cancer 2026,Liver Cancer ,Liver Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Liver Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1345962,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Community Member | Community | Patient  | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Liver Cancer | Liver | Cancer Testing | Cancer Treatment | Oncology | Patient Education | management | Treatment | Patient Care | Guidelines | Clinical guideline,Educational Fact Sheet,PDF,English
Mantle Cell Lymphoma 2026,Mantle Cell Lymphoma,Mantle Cell Lymphoma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Mantle Cell Lymphoma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1277350,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Mantle Cell Lymphoma | Mantle Cell | Lymphoma | Cancer Testing | Cancer Treatment | Healthcare | Education | Patient Education | Treatment | Guidelines | Clinical guideline,Educational Fact Sheet,PDF,English
Marginal Zone Lymphomas 2026,Marginal Zone Lymphomas,Marginal Zone Lymphomas 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Marginal Zone Lymphomas. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1838360,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Marginal Zone Lymphoma | Lymphoma | Guidelines | Clinical guideline | Patient Care | Cancer Testing | Cancer Treatment | Treatment | management | Patient Education | Education,Educational Fact Sheet,PDF,English
Melanoma 2026,Melanoma,Melanoma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Melanoma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3735566,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator | Patient ,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Testing | Cancer Treatment | Skin Cancer | Melanoma | Patient Education | Health  | Healthcare | Treatment | management | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Mouth Cancer 2025,Mouth Cancer,Mouth Cancer 2025.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on mouth Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2025,,True,False,2425557,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Healthcare Professional | Community,Adult Education | Adult | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Mouth | Mouth Cancer | Oral | Patient Education | Healthcare | Guidelines | Clinical Guidelines | Education | Treatment | management | Oncology | Cancer Testing | Cancer Treatment,Educational Fact Sheet,PDF,English
Multiple Myeloma 2026,Multiple Myeloma,Multiple Myeloma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Multiple Myeloma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3907368,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Graduate/Professional | Undergraduate | Community Training  | Adult | Adult Education,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | Multiple Myeloma | Blood Cancer  | Clinical Guidelines | Clinical education | management | Treatment | cancer diagnosis  | Cancer Testing | Cancer Treatment | Guidelines | Patient Education | Healthcare,Educational Fact Sheet,PDF,English
Myelodysplastic Syndromes 2026,Myelodysplastic Syndromes,Myelodysplastic Syndromes 2026.pdf,"This patient guideline explains myelodysplastic syndromes (MDS), a group of rare blood cancers that affect how bone marrow produces healthy blood cells. It provides information about types, testing, treatment options, risk scoring, supportive care, and decision-making in an easy-to-understand format for patients and caregivers. ",,,,2026,,True,False,1036630,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Undergraduate | Graduate/Professional | Adult | Adult Education | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Blood Cancer  | Health  | Healthcare | Treatment | management | Guidelines | Clinical Guidelines | Patient Care | Cancer Treatment | Cancer Testing | Education | Patient Education,Educational Fact Sheet,PDF,English
Myeloproliferative Neoplasms 2026,Myeloproliferative Neoplasms,Myeloproliferative Neoplasms 2026.pdf,"This patient guide explains myeloproliferative neoplasms (MPNs), a group of rare blood cancers that develop in the bone marrow and often cause overproduction of blood cells. It covers testing, diagnosis, risk assessment, treatment options, symptom management, and patient self-advocacy in clear, patient-centered language. ",,,,2026,,True,False,1856636,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Health Educator | Community Member | Health Educators | Community | Health Professional,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | Cancer Testing | Cancer Treatment | Patient Education | Clinical guideline | Guidelines | Patient Care | Healthcare | Treatment | management | Blood Cancer  | Education,Educational Fact Sheet,PDF,English
Nasopharyngeal Cancer 2025,Nasopharyngeal Cancer,Nasopharyngeal Cancer 2025.pdf,"This comprehensive patient guideline explains nasopharyngeal cancer, a rare cancer of the upper throat, including its causes, staging, and treatment options such as radiation, chemotherapy, and immunotherapy. It also addresses side effects, follow-up care, clinical trials, and decision-making to help patients and families manage their care effectively. ",,,,2025,,True,False,2404771,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | Nasopharyngeal Cancer | Guidelines | Clinical education | Clinical Guidelines | Cancer Treatment | Cancer Testing | Patient Care | Education | Patient Education | Treatment | management,Educational Fact Sheet,PDF,English
Neuroendocrine Tumors 2025,Neuroendocrine Tumors,Neuroendocrine Tumors 2025.pdf,"This patient guideline explains neuroendocrine tumors (NETs), a rare type of cancer that can appear in various parts of the body, such as the gastrointestinal tract, lungs, and pancreas. It describes diagnostic testing, staging, treatment options (surgery, chemotherapy, immunotherapy, and targeted therapy), surveillance, and supportive care in an accessible language for patients and caregivers. ",,,,2025,,True,False,3372306,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Testing | Cancer Treatment | Education | Patient Education | Neuroendocrine | Guidelines | Clinical Guidelines | Treatment | management | Patient Care | Healthcare,Educational Fact Sheet,PDF,English
